dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
mmlu-pro,0.0,1e-05,0.025,0.05,59,300,286.7275085449219,0.1447788625955581,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.05,60,300,286.86260986328125,0.140970692038536,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.05,61,300,287.027099609375,0.1451547592878341,0.9588793492995934
mmlu-pro,0.0,1e-05,0.025,0.05,62,300,287.1789245605469,0.1426038593053817,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.05,63,300,286.705810546875,0.1433138698339462,0.9552643470402168
mmlu-pro,0.0,1e-05,0.025,0.05,64,300,286.9078063964844,0.1442744433879852,0.9516493447808404
mmlu-pro,0.0,1e-05,0.025,0.05,65,300,287.1387023925781,0.1428330391645431,0.9620424762765476
mmlu-pro,0.0,1e-05,0.025,0.05,66,300,287.32940673828125,0.142162799835205,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.05,67,300,287.1730651855469,0.1426387578248977,0.9570718481699052
mmlu-pro,0.0,1e-05,0.025,0.05,68,300,286.8409423828125,0.1431081742048263,0.9575237234523272
mmlu-pro,0.0,1e-05,0.025,0.05,69,300,287.24761962890625,0.1413234621286392,0.9530049706281066
mmlu-pro,0.0,1e-05,0.025,0.05,70,300,286.8576354980469,0.1444020569324493,0.9611387257117036
mmlu-pro,0.0,1e-05,0.025,0.05,71,300,286.91729736328125,0.1452685743570327,0.9615906009941256
mmlu-pro,0.0,1e-05,0.025,0.05,72,300,287.2227783203125,0.1427939087152481,0.9624943515589698
mmlu-pro,0.0,1e-05,0.025,0.05,73,300,287.0243835449219,0.1432108432054519,0.962946226841392
mmlu-pro,0.0,1e-05,0.025,0.05,74,300,287.0103759765625,0.1428119391202926,0.962946226841392
mmlu-pro,0.0,1e-05,0.025,0.05,75,300,287.2964172363281,0.1441139280796051,0.9511974694984184
mmlu-pro,0.0,1e-05,0.025,0.05,76,300,287.14593505859375,0.1436771750450134,0.9624943515589698
mmlu-pro,0.0,1e-05,0.025,0.05,77,300,287.18255615234375,0.1426863670349121,0.955716222322639
mmlu-pro,0.0,1e-05,0.025,0.05,78,300,286.8892822265625,0.1454014927148819,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.05,79,300,286.584716796875,0.1429181098937988,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.05,80,300,287.2638854980469,0.1444467902183532,0.955716222322639
mmlu-pro,0.0,1e-05,0.025,0.05,81,300,286.87799072265625,0.1430910527706146,0.9521012200632626
mmlu-pro,0.0,1e-05,0.025,0.05,82,300,287.0130920410156,0.1432158946990966,0.9548124717577948
mmlu-pro,0.0,1e-05,0.025,0.05,83,300,287.3470458984375,0.144016295671463,0.9566199728874832
mmlu-pro,0.0,1e-05,0.025,0.05,84,300,286.9534606933594,0.1439979076385498,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.05,85,300,287.051513671875,0.1434734314680099,0.945774966109354
mmlu-pro,0.0,1e-05,0.025,0.05,86,300,287.0478820800781,0.1424137353897094,0.963849977406236
mmlu-pro,0.0,1e-05,0.025,0.05,87,300,287.22772216796875,0.1426187753677368,0.9597830998644374
mmlu-pro,0.0,1e-05,0.025,0.05,88,300,287.16265869140625,0.142667755484581,0.9548124717577948
mmlu-pro,0.0,1e-05,0.025,0.05,89,300,286.9538879394531,0.1425598412752151,0.965205603253502
mmlu-pro,0.0,1e-05,0.025,0.05,90,300,286.9136962890625,0.1434537321329116,0.9606868504292816
mmlu-pro,0.0,1e-05,0.025,0.05,91,300,287.3831787109375,0.1435477584600448,0.963849977406236
mmlu-pro,0.0,1e-05,0.025,0.05,92,300,287.0849304199219,0.1444191485643386,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.05,93,300,286.8305358886719,0.1429237872362136,0.956168097605061
mmlu-pro,0.0,1e-05,0.025,0.05,94,300,287.0008850097656,0.1429713666439056,0.9661093538183462
mmlu-pro,0.0,1e-05,0.025,0.05,95,300,286.6018981933594,0.142647847533226,0.9525530953456848
mmlu-pro,0.0,1e-05,0.025,0.05,96,300,286.96881103515625,0.1425315141677856,0.9593312245820154
mmlu-pro,0.0,1e-05,0.025,0.05,97,300,286.7455749511719,0.1448621153831482,0.9534568459105288
mmlu-pro,0.0,1e-05,0.025,0.05,98,300,286.98236083984375,0.144516721367836,0.9539087211929508
mmlu-pro,0.0,1e-05,0.025,0.05,99,300,286.7198181152344,0.1422006636857986,0.9584274740171712
mmlu-pro,0.0,1e-05,0.025,0.25,0,300,287.0,0.120434395968914,0.9521012200632626
