dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,0.0,1e-05,0.075,78,0.0584927275776863,0.9552643470402168
mmlu-pro,0.0,1e-05,0.075,79,0.0584753304719924,0.9588793492995934
mmlu-pro,0.0,1e-05,0.075,80,0.058453019708395,0.9521012200632626
mmlu-pro,0.0,1e-05,0.075,81,0.0584867931902408,0.9525530953456848
mmlu-pro,0.0,1e-05,0.075,82,0.0584930330514907,0.9502937189335744
mmlu-pro,0.0,1e-05,0.075,83,0.0584736578166484,0.9493899683687302
mmlu-pro,0.0,1e-05,0.075,84,0.0585185848176479,0.94713059195662
mmlu-pro,0.0,1e-05,0.075,85,0.0585337132215499,0.9593312245820154
mmlu-pro,0.0,1e-05,0.075,86,0.0585114061832428,0.9439674649796655
mmlu-pro,0.0,1e-05,0.075,87,0.0584761165082454,0.9507455942159964
mmlu-pro,0.0,1e-05,0.075,88,0.0585002228617668,0.9435155896972436
mmlu-pro,0.0,1e-05,0.075,89,0.0585058070719242,0.9525530953456848
mmlu-pro,0.0,1e-05,0.075,90,0.0584605708718299,0.9525530953456848
mmlu-pro,0.0,1e-05,0.075,91,0.0584854409098625,0.9597830998644374
mmlu-pro,0.0,1e-05,0.075,92,0.0584885701537132,0.9534568459105288
mmlu-pro,0.0,1e-05,0.075,93,0.0584889575839042,0.9435155896972436
mmlu-pro,0.0,1e-05,0.075,94,0.0584786422550678,0.946678716674198
mmlu-pro,0.0,1e-05,0.075,95,0.0585164688527584,0.9498418436511524
mmlu-pro,0.0,1e-05,0.075,96,0.0584404096007347,0.9394487121554452
mmlu-pro,0.0,1e-05,0.075,97,0.0584472827613353,0.948034342521464
mmlu-pro,0.0,1e-05,0.075,98,0.0585016012191772,0.9511974694984184
mmlu-pro,0.0,1e-05,0.075,99,0.0585094094276428,0.9448712155445096
mmlu-pro,0.0,1e-05,0.1,66,0.0506396703422069,0.9548124717577948
mmlu-pro,0.0,1e-05,0.1,67,0.050651729106903,0.9439674649796655
mmlu-pro,0.0,1e-05,0.1,68,0.0506761185824871,0.9543605964753727
mmlu-pro,0.0,1e-05,0.1,69,0.0506414696574211,0.9566199728874832
mmlu-pro,0.0,1e-05,0.1,70,0.0506320632994174,0.9448712155445096
mmlu-pro,0.0,1e-05,0.1,71,0.0506406724452972,0.9498418436511524
mmlu-pro,0.0,1e-05,0.1,72,0.0506529323756694,0.9448712155445096
mmlu-pro,0.0,1e-05,0.1,73,0.0506941974163055,0.9588793492995934
mmlu-pro,0.0,1e-05,0.1,74,0.0506625846028327,0.9539087211929508
mmlu-pro,0.0,1e-05,0.1,75,0.050615444779396,0.9498418436511524
mmlu-pro,0.0,1e-05,0.1,76,0.050674233585596,0.9498418436511524
mmlu-pro,0.0,1e-05,0.1,77,0.0506475456058979,0.9435155896972436
mmlu-pro,0.0,1e-05,0.1,78,0.0506517030298709,0.9521012200632626
mmlu-pro,0.0,1e-05,0.1,79,0.0506351627409458,0.9602349751468596
mmlu-pro,0.0,1e-05,0.1,80,0.0506257787346839,0.956168097605061
mmlu-pro,0.0,1e-05,0.1,81,0.0506547652184963,0.9489380930863082
mmlu-pro,0.0,1e-05,0.1,82,0.050656683743,0.9516493447808404
mmlu-pro,0.0,1e-05,0.1,83,0.0506566688418388,0.9534568459105288
mmlu-pro,0.0,1e-05,0.1,84,0.0506810508668422,0.9408043380027112
mmlu-pro,0.0,1e-05,0.1,85,0.0506789460778236,0.9498418436511524
mmlu-pro,0.0,1e-05,0.1,86,0.0506663881242275,0.955716222322639
mmlu-pro,0.0,1e-05,0.1,87,0.0506355203688144,0.9498418436511524
mmlu-pro,0.0,1e-05,0.1,88,0.0506541393697261,0.9493899683687302
mmlu-pro,0.0,1e-05,0.1,89,0.0506585352122783,0.9593312245820154
mmlu-pro,0.0,1e-05,0.1,90,0.050636600703001,0.945774966109354
mmlu-pro,0.0,1e-05,0.1,91,0.0506425201892852,0.9548124717577948
mmlu-pro,0.0,1e-05,0.1,92,0.050640657544136,0.9548124717577948
mmlu-pro,0.0,1e-05,0.1,93,0.0506435744464397,0.9435155896972436
mmlu-pro,0.0,1e-05,0.1,94,0.050634678453207,0.94713059195662
mmlu-pro,0.0,1e-05,0.1,95,0.0506748482584953,0.9516493447808404
mmlu-pro,0.0,1e-05,0.1,96,0.0506189912557601,0.9430637144148216
