dataset,n_full_obs,mcar_obs_prob,K,lmbda,split,train_loss,val_loss,train_acc,val_acc
mmlu-pro,,1.0,16,0.0001,3,0.2471920698881149,0.2599701881408691,0.8910786297633965,0.8868177257694
mmlu-pro,,1.0,16,1e-05,3,0.2471908032894134,0.2599713206291199,0.8910795694095153,0.8868177257694
mmlu-pro,,1.0,32,10.0,3,0.6133121848106384,0.6133415102958679,0.7951123367489665,0.7951051945760798
mmlu-pro,,1.0,32,1.0,3,0.2372263967990875,0.2499837875366211,0.9017740929816246,0.8953565264659598
mmlu-pro,,1.0,32,0.1,3,0.2071523368358612,0.2301768958568573,0.910011911776391,0.9013164679353928
mmlu-pro,,1.0,32,0.01,3,0.203768789768219,0.2308628112077713,0.9107976908431544,0.9016716542308396
mmlu-pro,,1.0,32,0.001,3,0.203626736998558,0.2313165217638015,0.910835511599432,0.9016260813860536
mmlu-pro,,1.0,32,0.0001,3,0.2036195993423462,0.2313703745603561,0.910844614421207,0.901632423998472
mmlu-pro,,1.0,32,1e-05,3,0.2036189436912536,0.2313758581876754,0.9108442620539126,0.901635947672038
mmlu-pro,,1.0,64,10.0,3,0.5517414212226868,0.5518161058425903,0.8069299136165705,0.8068160062166998
mmlu-pro,,1.0,64,1.0,3,0.1944102048873901,0.2222785204648971,0.9212668168025404,0.9076710608442112
mmlu-pro,,1.0,64,0.1,3,0.1613881289958953,0.2170389890670776,0.931078190478836,0.9110467401203828
mmlu-pro,,1.0,64,0.01,3,0.1576411575078964,0.2257976830005645,0.9319448378396902,0.9104916440779616
mmlu-pro,,1.0,64,0.001,3,0.157813087105751,0.2275524884462356,0.9317914993386948,0.910163707524758
mmlu-pro,,1.0,64,0.0001,3,0.1578461527824401,0.2277414500713348,0.9317671272674908,0.9101324642858064
mmlu-pro,,1.0,64,1e-05,3,0.1578496396541595,0.2277604788541793,0.9317631337714865,0.9101282358775274
mmlu-pro,,1.0,8,10.0,4,0.6713201403617859,0.6713352203369141,0.7855485598249486,0.7853850235886454
mmlu-pro,,1.0,8,1.0,4,0.3223241865634918,0.3251842558383941,0.8649983406436823,0.8633996261617258
mmlu-pro,,1.0,8,0.1,4,0.2931278645992279,0.2984293103218078,0.8709312075092759,0.8688493396988105
mmlu-pro,,1.0,8,0.01,4,0.2913013994693756,0.2972683906555176,0.871077205024969,0.869005086070425
mmlu-pro,,1.0,8,0.001,4,0.2911856174468994,0.2972684800624847,0.8710193580607866,0.8689482374702279
mmlu-pro,,1.0,8,0.0001,4,0.2911736071109772,0.2972684800624847,0.8710128979937205,0.8689320285718246
mmlu-pro,,1.0,8,1e-05,4,0.2911724150180816,0.2972684800624847,0.871014659830193,0.8689310889255403
mmlu-pro,,1.0,16,10.0,4,0.6506063938140869,0.6506389379501343,0.7898990626266503,0.789692831978794
mmlu-pro,,1.0,16,1.0,4,0.2789830565452575,0.2851049602031708,0.8833162719046926,0.8801589223760554
mmlu-pro,,1.0,16,0.1,4,0.249736338853836,0.2607686221599579,0.8904590506038783,0.8863025646940594
mmlu-pro,,1.0,16,0.01,4,0.2473483383655548,0.2598687708377838,0.8910470928905376,0.8868395725455088
mmlu-pro,,1.0,16,0.001,4,0.2471920698881149,0.2599470913410187,0.8910836803612845,0.8868684666687495
mmlu-pro,,1.0,16,0.0001,4,0.2471794933080673,0.2599592208862304,0.8910850311025802,0.886859070205907
mmlu-pro,,1.0,16,1e-05,4,0.2471783012151718,0.2599604725837707,0.8910845612795208,0.8868597749406202
mmlu-pro,,1.0,32,10.0,4,0.613258957862854,0.6133257150650024,0.7951536811781894,0.7949179700539427
mmlu-pro,,1.0,32,1.0,4,0.2374365180730819,0.2500524520874023,0.901681596566815,0.895443678658824
mmlu-pro,,1.0,32,0.1,4,0.2071183919906616,0.2302284389734268,0.9100153179935712,0.9013455969702046
mmlu-pro,,1.0,32,0.01,4,0.203817144036293,0.2308915257453918,0.9107711458403012,0.9017618602741276
mmlu-pro,,1.0,32,0.001,4,0.2036920934915542,0.2313580065965652,0.9107794851996046,0.9017867609006603
mmlu-pro,,1.0,32,0.0001,4,0.2036866992712021,0.2314131259918213,0.9107792502880748,0.9017825324923812
mmlu-pro,,1.0,32,1e-05,4,0.2036862522363662,0.2314187437295913,0.9107790741044276,0.9017851165196628
mmlu-pro,,1.0,64,10.0,4,0.5517271757125854,0.5518710017204285,0.8071013990332333,0.8068155363935577
mmlu-pro,,1.0,64,1.0,4,0.1943914592266082,0.2223610877990722,0.9213226670187208,0.907531993194142
mmlu-pro,,1.0,64,0.1,4,0.1614020019769668,0.2172759026288986,0.9310808332335448,0.9110035163913072
mmlu-pro,,1.0,64,0.01,4,0.1576829403638839,0.2262741923332214,0.9319303907806152,0.9103333136790652
mmlu-pro,,1.0,64,0.001,4,0.1578356623649597,0.2280462235212326,0.9317701223894942,0.9100836026790255
