dataset,prop_budget,seed,mean_width,coverage,sq_err,n_resampled,n_resampled_unique
mmlu-pro,0.025,80,0.0670335367321968,0.938093086308179,0.0003182503860443,4.533664708540443,4.486217803886127
mmlu-pro,0.025,81,0.0671188980340957,0.9340262087663804,0.0003238785429857,4.556710347943968,4.501581563488477
mmlu-pro,0.025,82,0.0667789876461029,0.9511974694984184,0.0002905540750361,4.447808404880253,4.399909624943516
mmlu-pro,0.025,83,0.0670204758644104,0.9331224582015364,0.0003189140697941,4.442385901491188,4.382738364211478
mmlu-pro,0.025,84,0.0669528618454933,0.9344780840488026,0.0003274144837632,4.503840939900588,4.45368278355174
mmlu-pro,0.025,85,0.0669511780142784,0.9340262087663804,0.0003240296500734,4.452779032986896,4.4161771351107095
mmlu-pro,0.025,86,0.0672342404723167,0.9403524627202892,0.000319007463986,4.528694080433801,4.488477180298238
mmlu-pro,0.025,87,0.0665454491972923,0.9313149570718482,0.000316282530548,4.517849073655671,4.471757794848622
mmlu-pro,0.025,88,0.0667913034558296,0.94713059195662,0.0003192629665136,4.536827835517397,4.483958427474017
mmlu-pro,0.025,89,0.0669835209846496,0.938996836873023,0.000320061808452,4.514234071396295,4.460009037505649
mmlu-pro,0.025,90,0.0669409707188606,0.938093086308179,0.0003213252057321,4.54631721644826,4.502485314053321
mmlu-pro,0.025,91,0.0667158737778663,0.9430637144148216,0.0003031457017641,4.410302756439223,4.364663352914596
mmlu-pro,0.025,92,0.0668593347072601,0.9344780840488026,0.0003214582102373,4.443289652056032,4.395842747401717
mmlu-pro,0.025,93,0.0664737969636917,0.9403524627202892,0.0003252323076594,4.569814731134207,4.523271577044736
mmlu-pro,0.025,94,0.0673546269536018,0.9408043380027112,0.0003199299681,4.514685946678717,4.465883416177135
mmlu-pro,0.025,95,0.0671141818165779,0.9408043380027112,0.0003176365571562,4.529597830998645,4.478987799367375
mmlu-pro,0.025,96,0.0667279213666915,0.9417080885675554,0.000313884607749,4.541346588341618,4.491640307275192
mmlu-pro,0.025,97,0.0668969824910163,0.9493899683687302,0.0003120803739875,4.492995933122458,4.45142340713963
mmlu-pro,0.025,98,0.0671704858541488,0.9394487121554452,0.0003289410669822,4.578400361500226,4.533664708540443
mmlu-pro,0.025,99,0.0666152536869049,0.9408043380027112,0.0003184094675816,4.614098508811568,4.557162223226389
mmlu-pro,0.05,0,0.0429430156946182,0.94713059195662,0.000124049198348,20.530049706281066,19.95752372345233
