dataset,prop_budget,seed,mean_width,coverage,sq_err,n_resampled,n_resampled_unique
mmlu-pro,0.05,14,0.041739825159311295,0.9412562132851333,0.00012950264499522746,0.0,0.0
mmlu-pro,0.05,15,0.0417703241109848,0.9376412110257569,0.00013204461720306426,0.0,0.0
mmlu-pro,0.05,16,0.04195014759898186,0.9439674649796657,0.00013456791930366307,0.0,0.0
mmlu-pro,0.05,17,0.041799191385507584,0.9498418436511523,0.00012338058149907738,0.0,0.0
mmlu-pro,0.05,18,0.04173719137907028,0.9417080885675554,0.0001266185281565413,0.0,0.0
mmlu-pro,0.05,19,0.04181094840168953,0.9426118391323995,0.0001284198515349999,0.0,0.0
mmlu-pro,0.05,20,0.041784629225730896,0.9507455942159965,0.00012066498311469331,0.0,0.0
mmlu-pro,0.05,21,0.041542280465364456,0.9371893357433349,0.0001292898814426735,0.0,0.0
mmlu-pro,0.05,22,0.0420471727848053,0.9317668323542703,0.00013802973262500018,0.0,0.0
mmlu-pro,0.05,23,0.041800446808338165,0.9457749661093539,0.00012519670417532325,0.0,0.0
mmlu-pro,0.05,24,0.041473470628261566,0.9430637144148215,0.00012721917300950736,0.0,0.0
mmlu-pro,0.05,25,0.04191357642412186,0.938093086308179,0.000133247027406469,0.0,0.0
mmlu-pro,0.05,26,0.04195360094308853,0.9421599638499775,0.00012730248272418976,0.0,0.0
mmlu-pro,0.05,27,0.04161081463098526,0.9457749661093539,0.00012636929750442505,0.0,0.0
mmlu-pro,0.05,28,0.04188058525323868,0.9421599638499775,0.00013370669330470264,0.0,0.0
mmlu-pro,0.05,29,0.04173963516950607,0.9457749661093539,0.00012382492423057556,0.0,0.0
mmlu-pro,0.05,30,0.0417935736477375,0.9385449615906011,0.00013578214566223323,0.0,0.0
mmlu-pro,0.05,31,0.041814081370830536,0.938093086308179,0.0001261777797481045,0.0,0.0
mmlu-pro,0.05,32,0.04147034510970116,0.9349299593312246,0.00013339378347154707,0.0,0.0
mmlu-pro,0.05,33,0.04192284867167473,0.9326705829191143,0.00014077205560170114,0.0,0.0
mmlu-pro,0.05,34,0.041917286813259125,0.9430637144148215,0.00012852228246629238,0.0,0.0
mmlu-pro,0.05,35,0.04174801707267761,0.9421599638499775,0.00011897434160346165,0.0,0.0
mmlu-pro,0.05,36,0.04183739423751831,0.9457749661093539,0.00012172391143394634,0.0,0.0
mmlu-pro,0.05,37,0.04173360764980316,0.9331224582015364,0.00013489984849002212,0.0,0.0
mmlu-pro,0.05,38,0.04210053011775017,0.9417080885675554,0.00013546145055443048,0.0,0.0
mmlu-pro,0.05,39,0.04181750491261482,0.9511974694984184,0.00012351127224974334,0.0,0.0
mmlu-pro,0.05,40,0.041844289749860764,0.9403524627202893,0.00012882282317150384,0.0,0.0
mmlu-pro,0.05,41,0.04172487184405327,0.9385449615906011,0.000136352886329405,0.0,0.0
mmlu-pro,0.05,42,0.041559115052223206,0.9349299593312246,0.00013284153828863055,0.0,0.0
mmlu-pro,0.05,43,0.04180622100830078,0.94713059195662,0.00012626498937606812,0.0,0.0
mmlu-pro,0.05,44,0.04177650064229965,0.938996836873023,0.0001343207259196788,0.0,0.0
mmlu-pro,0.05,45,0.04162346199154854,0.9457749661093539,0.00012370164040476084,0.0,0.0
mmlu-pro,0.05,46,0.041568323969841,0.9412562132851333,0.00012361096742097288,0.0,0.0
mmlu-pro,0.05,47,0.04218566417694092,0.938093086308179,0.00013352675887290388,0.0,0.0
mmlu-pro,0.05,48,0.041678570210933685,0.9367374604609128,0.0001289603824261576,0.0,0.0
mmlu-pro,0.05,49,0.041677068918943405,0.9371893357433349,0.00013149196456652135,0.0,0.0
mmlu-pro,0.05,50,0.042038239538669586,0.9385449615906011,0.0001305204350501299,0.0,0.0
mmlu-pro,0.05,51,0.04181037098169327,0.9444193402620877,0.0001293832901865244,0.0,0.0
mmlu-pro,0.05,52,0.04178311675786972,0.938093086308179,0.00013087262050248682,0.0,0.0
mmlu-pro,0.05,53,0.042209114879369736,0.9362855851784908,0.00013173409388400614,0.0,0.0
mmlu-pro,0.05,54,0.041545525193214417,0.9399005874378672,0.00013018585741519928,0.0,0.0
mmlu-pro,0.05,55,0.04190343618392944,0.9426118391323995,0.0001347787765553221,0.0,0.0
mmlu-pro,0.05,56,0.0418405756354332,0.94713059195662,0.0001246573665412143,0.0,0.0
mmlu-pro,0.05,57,0.04156138747930527,0.9349299593312246,0.00012934691039845347,0.0,0.0
mmlu-pro,0.05,58,0.041596896946430206,0.938996836873023,0.00011952040222240612,0.0,0.0
mmlu-pro,0.05,59,0.04194990545511246,0.9570718481699051,0.00012681601219810545,0.0,0.0
mmlu-pro,0.05,60,0.0416397899389267,0.9426118391323995,0.0001287746854359284,0.0,0.0
mmlu-pro,0.05,61,0.04196945205330849,0.9371893357433349,0.00013360816228669137,0.0,0.0
