dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.05,49.5,1.5455328208915409,0.00016632717088190392,0.950619349005425,0.0004568878225347183,0.08939517647027964,5.422190760502267e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.075,49.5,1.5457666236811891,0.00013128469563999403,0.9501265822784809,0.00046672356853554974,0.07198240414261814,3.893483556550864e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.1,49.5,1.5457790366375834,0.0001034380916765813,0.9497016274864376,0.0004550662116502237,0.061506933681666806,2.73103221501866e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.125,49.5,1.5458631192574896,8.923198442004492e-05,0.949755877034358,0.0004624640691756156,0.054252336546778634,2.0779343514495075e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.15,49.5,1.5458812813418887,7.749955374862573e-05,0.9501537070524413,0.0004509191089824436,0.048799383267760225,1.6725051921727315e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.175,49.5,1.5459293614862148,7.209135967039564e-05,0.9498508137432188,0.0005076717892813045,0.04451618414372201,1.331606602905799e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.2,49.5,1.5459409981765035,7.29625363002126e-05,0.949367088607595,0.0005415432976875337,0.04100892983376975,1.1183053563179847e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.225,49.5,1.5460112202730312,6.864303780924098e-05,0.949507233273056,0.0005060605593037223,0.03804708853363986,9.486006773911461e-07
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.25,49.5,1.5460639721874494,6.41642557043652e-05,0.9494891500904159,0.0005513227421178643,0.03551085803657766,8.009123573804136e-07
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.025,49.5,1.5149023797279053,0.00032806812940354717,0.949742314647378,0.0005254479784380788,0.1292893850803375,1.298655965180001e-05
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.05,49.5,1.5145590197174041,0.00023871571613111716,0.9498146473779384,0.00044857239147755486,0.09030468575656408,6.778246759890157e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.075,49.5,1.5142741418356607,0.00020108099021045722,0.9498688969258589,0.00048349633172617743,0.07272708818316455,4.794079547180345e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.1,49.5,1.5141631992927338,0.0001625158313210902,0.9497106690777577,0.00038355487088446435,0.06214576549828048,3.5150738555197006e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.125,49.5,1.5141265564402508,0.00013441655746260168,0.9504159132007233,0.00047937921210052534,0.05481796912848945,2.5830001040523475e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.15,49.5,1.514133537808384,0.0001210725830293842,0.9501446654611212,0.0005066062874323025,0.04930833809077735,2.006771643277308e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.175,49.5,1.5142155836957383,0.00011694790462990106,0.9498960216998192,0.0004832041932880387,0.04497994791716333,1.6616874154472924e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.2,49.5,1.5141274840746883,0.00011008848734898825,0.9496971066907776,0.0004866864045055551,0.041437516286969144,1.4795352872789627e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.225,49.5,1.5141424089384672,0.00010067663827776727,0.9489150090415913,0.00043228438948092474,0.03844540357589717,1.2654258300770568e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.25,49.5,1.5141148676205833,9.21923312955371e-05,0.9488426763110307,0.00045183839257167523,0.035883559361100145,1.1080465238111633e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.025,49.5,2.1751031338061075,0.000461367462117869,0.9497830018083182,0.0004440479682150264,0.10789847090840336,1.1875751208950694e-05
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.05,49.5,2.1751820508086745,0.00030680604237248515,0.9486844484629294,0.0004972458000122168,0.07535386428236956,5.669394345002368e-06
bbh+gpqa+ifeval+math+musr,0.0,0.01,0.075,49.5,2.1748219809387455,0.00023710677628281657,0.9497151898734176,0.0004653492528554926,0.06068572275340553,3.8773411678262206e-06
