dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,62,0.1214680224657058,0.943490054249548,1.717191968212873
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,63,0.1215148195624351,0.9507233273056056,1.7093682248777766
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,64,0.1214926093816757,0.9475587703435804,1.7161097656883832
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,65,0.1213969811797142,0.9430379746835442,1.7144156621858377
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,66,0.1213494017720222,0.9466546112115732,1.7227433126340912
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,67,0.1215027868747711,0.9507233273056056,1.7193705376709152
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,68,0.1214558556675911,0.9425858951175408,1.7137338778241737
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,69,0.1214381232857704,0.9520795660036168,1.7146601608291439
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,70,0.1215426847338676,0.9462025316455696,1.7169587520606409
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,71,0.1215247213840484,0.9511754068716094,1.7125475280320397
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,72,0.1214831843972206,0.951627486437613,1.7193180876233087
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,73,0.1214356273412704,0.943490054249548,1.7161581365751521
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,74,0.1214471608400344,0.9489150090415912,1.7173439390440113
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,75,0.1214790046215057,0.9507233273056056,1.7187589849209686
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,76,0.1214396730065345,0.9466546112115732,1.7188997215857993
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,77,0.1215244904160499,0.9525316455696202,1.7192496846569822
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,78,0.121446281671524,0.9511754068716094,1.7119842074225595
