dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,16,239,228.6062469482422,0.1285047978162765,0.9534358047016276,1.5303164005509835
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,17,239,228.59991455078125,0.1284631639719009,0.9511754068716094,1.532700279503682
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,18,239,228.655517578125,0.1284643858671188,0.9543399638336348,1.5339158343955994
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,19,239,228.905517578125,0.1286665052175521,0.9471066907775768,1.5215334468092303
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,20,239,228.86981201171875,0.1285319179296493,0.9448462929475588,1.5362043040755957
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,21,239,228.8607635498047,0.1285466253757476,0.955244122965642,1.5315893639495177
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,22,239,228.8711700439453,0.1286141574382782,0.9543399638336348,1.5296105260075983
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,23,239,228.91818237304688,0.1285149604082107,0.9452983725135624,1.5349857243840686
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,24,239,228.9466552734375,0.1286633312702179,0.9394213381555152,1.5365492359751445
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,25,239,228.57550048828125,0.1284153014421463,0.943490054249548,1.5324978794014295
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,26,239,228.70570373535156,0.1285793483257293,0.9430379746835442,1.5307014973451463
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,27,239,229.1885223388672,0.1287515610456466,0.950271247739602,1.5264775890610123
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,28,239,228.8684539794922,0.128469631075859,0.951627486437613,1.5349764904713665
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,29,239,229.106689453125,0.1285630613565445,0.9534358047016276,1.533621444620678
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,30,239,228.8774871826172,0.1286778897047042,0.9561482820976492,1.532526551894057
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,31,239,228.7658233642578,0.1286038160324096,0.9493670886075948,1.5319875122684503
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,32,239,229.0293884277344,0.1286969035863876,0.95750452079566,1.5338628436462833
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,0.75,33,239,229.0863494873047,0.1287138611078262,0.9511754068716094,1.5334105411390726
