dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,28,239,238.93942260742188,0.1237838491797447,0.9489150090415912,1.6533877493696492
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,29,239,239.1473846435547,0.1238846182823181,0.9498191681735986,1.6516415862237004
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,30,239,239.18218994140625,0.1238856986165046,0.955244122965642,1.6533831945422601
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,31,239,238.978759765625,0.12380151450634,0.950271247739602,1.6531452784572818
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,32,239,239.26446533203125,0.1239298731088638,0.95750452079566,1.6541340941716465
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,33,239,239.3182678222656,0.1239231377840042,0.950271247739602,1.6542619409733332
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,34,239,239.4254150390625,0.1239535361528396,0.9547920433996384,1.6533894443634214
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,35,239,239.10443115234375,0.1239013969898223,0.948010849909584,1.6548521257995363
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,36,239,239.32550048828125,0.1238185241818428,0.9534358047016276,1.6494498850645214
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,37,239,239.51808166503903,0.124012678861618,0.9534358047016276,1.6555542973785475
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,38,239,238.81690979003903,0.1237990036606788,0.9452983725135624,1.6526601876462892
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,39,239,239.13246154785156,0.123821809887886,0.9462025316455696,1.650355044240754
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,40,239,238.7206268310547,0.1237330287694931,0.9389692585895116,1.6517929424287312
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,41,239,238.9050750732422,0.1237766221165657,0.9471066907775768,1.6523791177301104
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,42,239,239.6229705810547,0.1239671483635902,0.9507233273056056,1.6514806623999598
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,43,239,239.1519012451172,0.1238395050168037,0.948010849909584,1.6517516378388473
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,44,239,239.05470275878903,0.1238562017679214,0.953887884267631,1.654607812420909
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,45,239,238.9213409423828,0.1238471940159797,0.9547920433996384,1.6553039018781854
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,46,239,239.02305603027344,0.1237720549106597,0.9443942133815552,1.6526440705308854
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,47,239,239.47152709960935,0.1239028051495552,0.9520795660036168,1.6509750240978038
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,48,239,238.5782165527344,0.1236764341592788,0.9421338155515372,1.6547681019954195
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,49,239,239.51808166503903,0.1239066645503044,0.955244122965642,1.6507083915493332
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,50,239,238.55064392089844,0.1236928775906562,0.951627486437613,1.6539454698478429
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,51,239,238.97921752929688,0.1237828060984611,0.955244122965642,1.6534939408046199
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,52,239,238.24368286132812,0.1235515102744102,0.9443942133815552,1.6532372733668141
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,53,239,239.515380859375,0.123866282403469,0.9547920433996384,1.6517057147135104
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,54,239,238.48373413085935,0.1236820891499519,0.9534358047016276,1.6527024681807467
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,55,239,239.0406951904297,0.1238486692309379,0.9448462929475588,1.6534386770933687
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,56,239,238.74368286132812,0.1237454712390899,0.948010849909584,1.652824398132429
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,57,239,239.2174530029297,0.1238442510366439,0.9525316455696202,1.649292156703905
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,58,239,239.28436279296875,0.1238947734236717,0.9547920433996384,1.6528821383536578
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,59,239,239.039794921875,0.1238020211458206,0.9466546112115732,1.6516594226021706
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,60,239,238.60714721679688,0.1236502081155777,0.9566003616636528,1.6510143636732328
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,61,239,239.3607635498047,0.1239677742123603,0.955244122965642,1.656176845016133
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,62,239,239.29249572753903,0.1238736137747764,0.9529837251356238,1.6511447794573153
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,63,239,238.80967712402344,0.1237027049064636,0.9484629294755876,1.6494369802032023
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,64,239,239.32595825195312,0.1238534674048423,0.9484629294755876,1.65130936197063
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,65,239,239.0095062255859,0.1238108947873115,0.9484629294755876,1.648216188081813
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,66,239,238.70977783203125,0.1237687021493911,0.9484629294755876,1.65605279617849
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,67,239,239.41954040527344,0.1239429637789726,0.9507233273056056,1.6523353921338695
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,68,239,238.53390502929688,0.1237208619713783,0.950271247739602,1.6515602585372875
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,69,239,239.04656982421875,0.1237980350852012,0.9489150090415912,1.649911494097376
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,70,239,239.03390502929688,0.1238250508904457,0.9561482820976492,1.6542474806878062
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,71,239,238.96112060546875,0.1237344220280647,0.9489150090415912,1.6519269302682615
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,72,239,239.32911682128903,0.1239120364189148,0.950271247739602,1.6525765205122813
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,73,239,238.88563537597656,0.1237471029162406,0.9493670886075948,1.6526445835134727
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,74,239,239.08770751953125,0.1238299086689949,0.9462025316455696,1.6518891831248965
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,75,239,239.1510009765625,0.1238609179854393,0.9462025316455696,1.6532892507351282
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,76,239,238.9606781005859,0.1238143965601921,0.9511754068716094,1.6535960600145054
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,77,239,239.29295349121097,0.1239156648516655,0.9484629294755876,1.653537878168535
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,78,239,239.0813751220703,0.1237740591168403,0.9371609403254972,1.648196288397697
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,79,239,238.47332763671875,0.1236660853028297,0.9525316455696202,1.652799349759899
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,80,239,239.0682678222656,0.1238153651356697,0.9547920433996384,1.650063346183214
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,81,239,239.07911682128903,0.1237805411219596,0.9579566003616636,1.6517385041217296
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,82,239,239.07595825195312,0.1238432079553604,0.9547920433996384,1.6503025593936163
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,83,239,239.1808319091797,0.1238582581281662,0.950271247739602,1.649648096986921
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,mean,84,239,238.9095916748047,0.1237463131546974,0.9525316455696202,1.6494061996684664
