dataset,n_full_obs,mcar_obs_prob,prop_budget,policy,tau,f,seed,N_B,N_labels,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,70,239,239.03390502929688,0.1592607498168945,0.9475587703435804,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,71,239,238.96112060546875,0.1590325236320495,0.951627486437613,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,72,239,239.32911682128903,0.1592921167612075,0.951627486437613,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,73,239,238.88563537597656,0.1590833663940429,0.9507233273056056,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,74,239,239.08770751953125,0.1591534316539764,0.955244122965642,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,75,239,239.1510009765625,0.1592607349157333,0.9430379746835442,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,76,239,238.9606781005859,0.1592156887054443,0.9511754068716094,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,77,239,239.29295349121097,0.1593431085348129,0.9507233273056056,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,78,239,239.0813751220703,0.1589037328958511,0.939873417721519,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,79,239,238.47332763671875,0.1589866578578949,0.9448462929475588,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,80,239,239.0682678222656,0.1590467691421508,0.9507233273056056,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,81,239,239.07911682128903,0.1590827256441116,0.9493670886075948,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,82,239,239.07595825195312,0.1590940654277801,0.9439421338155516,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,83,239,239.1808319091797,0.1590818464756012,0.948010849909584,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,84,239,238.9095916748047,0.1589264124631881,0.9421338155515372,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,85,239,239.26084899902344,0.1592999845743179,0.9475587703435804,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,86,239,239.22650146484375,0.1590502858161926,0.9484629294755876,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,87,239,238.9095916748047,0.1592130661010742,0.9529837251356238,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,88,239,239.0723419189453,0.1590617001056671,0.9475587703435804,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,89,239,238.4778594970703,0.1588563174009323,0.943490054249548,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,90,239,238.8802032470703,0.1591399908065796,0.9498191681735986,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,91,239,238.81103515625,0.1591008603572845,0.9570524412296564,1.0
bbh+gpqa+ifeval+math+musr,0.0,1e-05,0.025,unif,,zero,92,239,238.59088134765625,0.1590656787157058,0.9489150090415912,1.0
