dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.1,49.5,1.5679851855753029,0.0001534224997526378,0.950379746835443,0.00047082968134758266,0.06106985330581661,3.1929652813356507e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.125,49.5,1.572220222256823,0.00012334794985339315,0.9493037974683545,0.0004913371106316497,0.053795669861137825,2.453131622730119e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.15,49.5,1.5753761368449866,0.00010776707155808433,0.9501989150090415,0.0004983333876024218,0.04834040760993953,2.053493950663178e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.175,49.5,1.5778063026521136,0.00010202690304120131,0.9503345388788427,0.0005157711163864922,0.04406420592218633,1.8029384714795515e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.2,49.5,1.5796492286441264,9.212742876820895e-05,0.9503164556962025,0.0005056036686649127,0.040569026917219114,1.5316407385866631e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.225,49.5,1.5812198863348335,9.125189258044361e-05,0.9499593128390597,0.00041611243928394375,0.03762111317366357,1.2726749894866364e-06
bbh+gpqa+ifeval+math+musr,0.0,0.0001,0.25,49.5,1.5823839099165051,9.470032050909294e-05,0.9499683544303796,0.00044033059819099994,0.03510096032172436,1.1327200479727142e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.025,49.5,1.5963009973552993,0.0003175859639188437,0.9502215189873418,0.0004251041473428985,0.12594987422227855,1.3084050649251065e-05
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.05,49.5,1.6348349785190857,0.00021881631460598838,0.9498236889692586,0.00047250927866783243,0.08691931918263432,5.4799075298242456e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.075,49.5,1.6571458028127237,0.00019120366937885696,0.9494710669077757,0.0004224228223644471,0.06952132411301132,4.311413789710283e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.1,49.5,1.6720342627855858,0.0001574012377473617,0.9502124773960218,0.0004374425086343589,0.059139174707233864,3.071395734259703e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.125,49.5,1.6831422495360133,0.0001381386012505248,0.9494394213381555,0.00047230061179825153,0.05199284799396987,2.4531809641831426e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.15,49.5,1.6917703208942865,0.0001239078033624846,0.9500768535262206,0.00046863819664348704,0.04664786223322149,1.978958968211705e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.175,49.5,1.6985627668043124,0.00011891104772689931,0.9499773960216998,0.0004824054635995774,0.04246899683028455,1.8170571261738163e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.2,49.5,1.7040570498647103,0.00010718490127408246,0.9502938517179024,0.0004739000759846726,0.039060056097805454,1.501085028940091e-06
bbh+gpqa+ifeval+math+musr,0.0,0.001,0.225,49.5,1.708831575472643,0.00010708370073879353,0.9501943942133815,0.0004375085732357542,0.03618913106620307,1.309342084697035e-06
